code,english,chinese,old_price,price
j19,Prawn Chop Suey,蝦仁雜碎,1595,1795
j20,Buddha's Delight,羅漢齋,1795,1995
j21,Garlic Salt and Chili Pepper Deep Fried Cauliflower (Hot),椒鹽花菜,,1495
j22,Sweet and Sour Cauliflower with Pineapple,甜酸花菜,,1495
j23,Green Beans with Spicy Minced Meat Sauce,炸醬豆仔(辣),,1650
k00,CHOW MEIN 。 FRIED RICE,飯。麵,,
k01,Chicken Fried Rice,雞肉炒飯,1295,1350
k02,Prawns Fried Rice,蝦仁炒飯,1395,1450
k03,Vegetable Fried Rice,時菜炒飯,1295,1350
k04,Beef Fried Rice,牛肉炒飯,1495,1550
k05,House Young Chow Fried Rice,招牌揚州炒飯,1495,1550
k06,Chicken Chow Mein,雞絲炒麵,1295,1350
k07,Beef Chow Mein,牛肉炒麵,1495,1550
k08,Seafood Chow Mein,海鮮炒麵,1495,1550
k09,This and That Chow Mein,招牌炒麵,1495,1550
k10,Vegetable Chow Mein,時菜炒麵,1295,1350
k11,Prawns Chow Mein,蝦仁炒麵,1495,1550
k12,Singapore Style Chow Fun (Rice Vermicelli) with Curry,星洲炒米粉,1395,1450
k13,House Chow Fun (Rice Vermicelli),招牌炒米粉,1495,1550
k14,Beef and Tomato Fried Rice,蕃茄牛肉炒飯,1495,1550
k15,Beef N Tomato Chow Mein,蕃茄牛肉炒麵,1495,1550
k16,Shanghai Style Noodles with Pork,上海炒麵,1395,1450
k17,BBQ Pork Fried Rice,叉燒炒飯,1295,1350
k18,BBQ Pork Chow Mein,叉燒炒麵,1295,1350
k19,Noodles With Spicy Minced Meat Sauce,炸醬麵,1295,1350
k20,Chicken Lo Mein,雞肉撈麵,1295,1350
k21,Beef Lo Mein,牛肉撈麵,1495,1550
k22,Seafood Lo Mein,海鮮撈麵,1495,1550
k23,House Lo Mein,招牌撈麵,1495,1550
k24,Prawns Lo Mein,蝦球撈麵,1495,1550
k25,BBQ Pork Lo Mein,叉燒撈麵,1295,1350
k26,Plain Chow Mein,淨炒麵,1195,1250
k27,Steam Rice,白飯,295,325
k29,Plain Egg Fried Rice,淨蛋炒飯,1195,1250
k30,Three kinds of Mushrooms Chow Mein,三菇炒麵,1295,1350
k31,Button Style Mushroom Chow Mein,蘑菇炒麵,1295,1350
k32,Beef Chow Fun (Thick Rice Noodle),干炒牛河,1495,1550
l01,Breaded Deep Fried Banana,炸香蕉,995,1095
l02,Breaded Deep Fried Lychee in Sweet and Sour sauce,酥炸甜酸荔枝,995,1095
m00,NEW DISHES FROM DRUNKEN MONKEY,醉悟空新菜推薦,,
m01,3 Cups Tofu,三杯豆腐,1050,1150
m03,3 Cups Chicken,三杯雞丁,1450,1595
m11,Scramble Eggs With Prawns,滑蛋蝦仁,1695,1850
m12,Taiwan Style Deep Fried Prawns with Pineapples,鳳梨蝦球,1395,1550
m14,Wrinkly Old Man Tofu,老皮嫩肉,995,1095
m15,TW Beautiful Veggie with Beef,牛肉高麗菜,1595,1795
m17,Kung Pao TW Beautiful Veggie,宮保高麗菜,1495,1650
m18,Garlic Fried TW Beautiful Veggie,蒜炒高麗菜,1395,1550
m20,Kung Pao Eggplants,宮保茄子,1395,1550
m21,Braised Eggplants,紅燒茄子,1395,1550
m23,Green Beans 'n Eggs with Minced Pork,四季豆炒蛋,1495,1650
w00,FROZEN FOODS,冷凍,,
w01,Frozen Hot and Sour Soup,酸辣湯 (冷凍),895,995
w02,Frozen Chicken Chow Mein,雞絲炒麵 (冷凍),995,1095
w03,Frozen House Fried Rice,揚州炒飯 (冷凍),1095,1195
w08,Frozen Sweet and Sour Pork,甜酸咕嚕肉 (冷凍),1295,1395
w11,Frozen Vegetable Fried Rice,時菜炒飯 (冷凍),895,995
w12,Frozen Vegetable Chow Mein, 時菜炒麵 (冷凍),895,995
